,Unnamed: 0,suburb,postcode,p_type,median_sell,avg_days_on_market,clearance,n_sold,h_range,l_range,median_rent,2022_median,2022_growth,2022_n_sold,2021_median,2021_growth,2021_n_sold,2020_median,2020_growth,2020_n_sold,2019_median,2019_growth,2019_n_sold,2018_median,2018_growth,2018_n_sold
0,0,melbourne,3000, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,
1,1,melbourne,3000, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,
2,2,melbourne,3000, 1_unit,$330k,120 days,40%,387,585k,180k,350.0,$330k,-4.3%,387.0,$345k-4.2%3412020$360k,0.6%,4.0,$360k,0.6%,420.0,$358k,-0.6%,479.0,$360k,-15.7%,473.0
3,3,melbourne,3000, 2_unit,$540k,147 days,41%,596,965k,335k,450.0,$540k,-6.1%,596.0,$575k,-4.2%,551.0,$600k,-,626.0,$600k,1.7%,608.0,$590k,-11.5%,627.0
4,4,melbourne,3000, 3_unit,$961k,180 days,55%,78,3.1m,570k,700.0,$961k,-,78.0,$961k,-0.9%,101.0,$970k,-5.7%,124.0,$1.029m,1%,117.0,$1.019m,-0.6%,160.0
5,5,east-melbourne,3002, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,
6,6,east-melbourne,3002, 3_house,$3.228m,75 days,45%,14,6m,1.675m,970.0,$3.228m,16.7%,14.0,$2.765m,-,22.0,,-,6.0,$2.83m,-,11.0,,-,6.0
7,7,east-melbourne,3002, 4_house,$3.1m,-,-,11,10.35m,1.735m,1000.0,$3.1m,-,11.0,,-,5.0,,-,4.0,,-,6.0,$3.87m,-,11.0
8,8,east-melbourne,3002, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
9,9,east-melbourne,3002, 1_unit,$518k,54 days,39%,52,853k,170k,400.0,$518k,-6.3%,52.0,$553k,3.4%,29.0,$535k,13.3%,34.0,$472k,-10.4%,33.0,$527k,-6.6%,44.0
10,10,east-melbourne,3002, 2_unit,$890k,45 days,44%,60,2.5m,555k,540.0,$890k,7.2%,60.0,$830k,-5.3%,51.0,$876k,3.3%,59.0,$848k,-3.6%,33.0,$880k,3.7%,49.0
11,11,east-melbourne,3002, 3_unit,$2.038m,46 days,-,22,6.611m,885k,825.0,$2.038m,27.4%,22.0,$1.6m,-1.5%,17.0,$1.625m,-32.4%,12.0,$2.405m,-17.8%,17.0,$2.925m,50.2%,19.0
12,12,west-melbourne,3003, 2_house,-,-,-,9,,,,,,,,,,,,,,,,,,
13,13,west-melbourne,3003, 3_house,$1.28m,30 days,-,17,1.915m,940k,740.0,$1.28m,9.6%,17.0,$1.168m,-,16.0,,-,9.0,$1.26m,-5.6%,13.0,$1.335m,7.5%,22.0
14,14,west-melbourne,3003, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,
15,15,west-melbourne,3003, 1_unit,$353k,148 days,-,28,552k,230k,360.0,$353k,0.6%,28.0,$351k,-11.4%,27.0,$396k,-1.2%,38.0,$401k,-7.8%,36.0,$435k,-4.4%,101.0
16,16,west-melbourne,3003, 2_unit,$598k,90 days,52%,54,930k,400k,460.0,$598k,4%,54.0,$575k,-12.9%,73.0,$660k,8.4%,110.0,$609k,-10%,69.0,$677k,7.1%,182.0
17,17,west-melbourne,3003, 3_unit,$1m,65 days,-,19,1.705m,650k,650.0,$1m,2.6%,19.0,$975k,-7.2%,18.0,$1.051m,4.2%,27.0,$1.009m,13.4%,21.0,$890k,28.1%,53.0
18,18,melbourne,3004, 1_unit,$400k,145 days,-,121,715k,210k,375.0,$400k,-4.8%,121.0,$420k,-,126.0,$420k,9.1%,116.0,$385k,-5.6%,74.0,$408k,4.6%,107.0
19,19,melbourne,3004, 2_unit,$706k,117 days,63%,212,1.6m,417k,530.0,$706k,8.6%,212.0,$650k,-4.4%,179.0,$680k,4.1%,156.0,$653k,-5.8%,124.0,$693k,-2.1%,161.0
20,20,melbourne,3004, 3_unit,$1.295m,115 days,-,82,3.7m,720k,750.0,$1.295m,2.8%,82.0,$1.26m,-11.5%,75.0,$1.424m,1.7%,59.0,$1.4m,-6%,66.0,$1.49m,9.2%,60.0
21,21,southbank,3006, 2_house,$623k,96 days,-,13,1.21m,355k,485.0,$623k,-,13.0,,-,4.0,,-,1.0,,-,3.0,,-,4.0
22,22,southbank,3006, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,
23,23,southbank,3006, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,
24,24,southbank,3006, 1_unit,$400k,107 days,-,164,650k,260k,370.0,$400k,2.6%,164.0,$390k,-12.6%,169.0,$446k,4.9%,179.0,$425k,-2.3%,245.0,$435k,-,251.0
25,25,southbank,3006, 2_unit,$595k,96 days,59%,374,970k,400k,490.0,$595k,0.3%,374.0,$593k,-1.5%,329.0,$602k,-1%,472.0,$608k,2.2%,526.0,$595k,-4%,504.0
26,26,southbank,3006, 3_unit,$960k,81 days,38%,87,2.28m,665k,695.0,$960k,10.3%,87.0,$870k,-21.8%,105.0,$1.112m,15.4%,112.0,$964k,0.5%,110.0,$959k,12.8%,113.0
27,27,docklands,3008, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,
28,28,docklands,3008, 3_house,-,-,-,6,,,,,,,,,,,,,,,,,,
29,29,docklands,3008, 4_house,-,-,-,3,,,,,,,,,,,,,,,,,,
30,30,docklands,3008, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
31,31,docklands,3008, 1_unit,$410k,101 days,-,138,620k,310k,400.0,$410k,2.5%,138.0,$400k,-7%,89.0,$430k,-4.4%,149.0,$450k,7.4%,163.0,$419k,-11.8%,168.0
32,32,docklands,3008, 2_unit,$645k,109 days,54%,278,1.07m,450k,520.0,$645k,4%,278.0,$620k,-7.5%,224.0,$670k,-0.7%,311.0,$675k,3.1%,334.0,$655k,1.4%,337.0
33,33,docklands,3008, 3_unit,$1.185m,116 days,-,70,2m,795k,880.0,$1.185m,0.9%,70.0,$1.175m,-,58.0,$1.175m,-6%,83.0,$1.25m,5.2%,74.0,$1.188m,3.3%,93.0
34,34,footscray,3011, 2_house,$845k,53 days,56%,61,1.3m,520k,430.0,$845k,8.3%,61.0,$780k,9.1%,81.0,$715k,1.4%,59.0,$705k,-9.4%,52.0,$778k,4.1%,60.0
35,35,footscray,3011, 3_house,$1.069m,113 days,66%,92,1.545m,650k,520.0,$1.069m,13.7%,92.0,$940k,3.1%,99.0,$912k,2.1%,69.0,$893k,-0.8%,56.0,$900k,3.7%,70.0
36,36,footscray,3011, 4_house,$1.25m,-,53%,16,1.76m,800k,580.0,$1.25m,25%,16.0,$1m,-8.4%,15.0,$1.092m,12.8%,12.0,$968k,-11.6%,16.0,$1.095m,-0.5%,17.0
37,37,footscray,3011, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
38,38,footscray,3011, 1_unit,$390k,148 days,35%,85,575k,193k,295.0,$390k,1%,85.0,$386k,6.6%,92.0,$362k,9.7%,73.0,$330k,-16.2%,68.0,$394k,-,152.0
39,39,footscray,3011, 2_unit,$500k,88 days,36%,234,700k,330k,390.0,$500k,-2%,234.0,$510k,4.9%,242.0,$486k,3.4%,210.0,$470k,-15.3%,173.0,$555k,9.9%,420.0
40,40,footscray,3011, 3_unit,$680k,196 days,43%,54,1.125m,475k,530.0,$680k,3.2%,54.0,$659k,-5.3%,29.0,$696k,18%,42.0,$590k,-11.1%,35.0,$664k,10.9%,74.0
41,41,seddon,3011, 2_house,$933k,41 days,50%,36,1.47m,715k,490.0,$933k,3.7%,36.0,$900k,1.1%,38.0,$890k,7.5%,18.0,$828k,-10.5%,24.0,$925k,-1.6%,41.0
42,42,seddon,3011, 3_house,$1.21m,46 days,49%,49,1.65m,885k,590.0,$1.21m,8%,49.0,$1.12m,8.6%,57.0,$1.031m,6.4%,51.0,$969k,-7.1%,52.0,$1.043m,7.2%,30.0
43,43,seddon,3011, 4_house,$1.394m,-,-,10,2.19m,1.09m,630.0,$1.394m,-4.9%,10.0,$1.466m,8.2%,11.0,$1.355m,-2%,11.0,$1.383m,-,10.0,,-,9.0
44,44,seddon,3011, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
45,45,seddon,3011, 1_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
46,46,seddon,3011, 2_unit,$540k,-,60%,13,1.1m,420k,370.0,$540k,2.9%,13.0,$525k,-,18.0,,-,7.0,,-,6.0,,-,9.0
47,47,seddon,3011, 3_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
48,48,brooklyn,3012, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
49,49,brooklyn,3012, 3_house,$825k,104 days,69%,22,980k,705k,470.0,$825k,10%,22.0,$750k,12.8%,31.0,$665k,7.3%,19.0,$620k,-9%,27.0,$681k,-5.4%,26.0
50,50,brooklyn,3012, 4_house,-,-,-,4,,,,,,,,,,,,,,,,,,
51,51,brooklyn,3012, 1_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
52,52,brooklyn,3012, 2_unit,$605k,-,-,10,670k,452k,398.0,$605k,0.8%,10.0,$600k,11.7%,19.0,$537k,-,16.0,,-,8.0,$425k,-10%,13.0
53,53,brooklyn,3012, 3_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
54,54,maidstone,3012, 2_house,$691k,47 days,56%,37,1.15m,525k,400.0,$691k,5.8%,37.0,$653k,2%,31.0,$640k,6.3%,41.0,$602k,-6.1%,28.0,$641k,6.8%,54.0
55,55,maidstone,3012, 3_house,$855k,35 days,63%,63,1.235m,625k,460.0,$855k,8.2%,63.0,$790k,9%,71.0,$725k,-1.1%,49.0,$733k,-8.3%,58.0,$799k,7.8%,60.0
56,56,maidstone,3012, 4_house,$1.088m,38 days,64%,28,1.455m,750k,600.0,$1.088m,18.3%,28.0,$920k,6%,24.0,$868k,9.9%,22.0,$790k,-14.1%,15.0,$920k,19%,12.0
57,57,maidstone,3012, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
58,58,maidstone,3012, 1_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
59,59,maidstone,3012, 2_unit,$450k,76 days,44%,55,680k,350k,360.0,$450k,2.3%,55.0,$440k,-8.1%,31.0,$479k,14.9%,41.0,$417k,-0.2%,41.0,$418k,11.5%,32.0
60,60,maidstone,3012, 3_unit,$712k,20 days,-,14,840k,560k,480.0,$712k,-3.8%,14.0,$740k,11.3%,10.0,$665k,0.8%,21.0,$660k,-,11.0,,-,4.0
61,61,west-footscray,3012, 2_house,$764k,45 days,71%,62,1.35m,611k,430.0,$764k,11%,62.0,$688k,-6.4%,54.0,$735k,2.1%,45.0,$720k,-1.4%,35.0,$730k,-2.4%,59.0
62,62,west-footscray,3012, 3_house,$976k,47 days,57%,94,1.58m,715k,490.0,$976k,7.8%,94.0,$905k,13.1%,87.0,$800k,-,82.0,$800k,-8%,67.0,$870k,0.8%,91.0
63,63,west-footscray,3012, 4_house,$1.1m,68 days,58%,25,1.88m,790k,550.0,$1.1m,-3.3%,25.0,$1.138m,3.3%,20.0,$1.102m,4%,15.0,$1.06m,-6.2%,10.0,$1.13m,20.5%,14.0
64,64,west-footscray,3012, 5_house,-,-,-,4,,,,,,,,,,,,,,,,,,
65,65,west-footscray,3012, 1_unit,$285k,92 days,-,18,430k,202k,250.0,$285k,-3.1%,18.0,$294k,21%,20.0,$243k,-10%,23.0,$270k,-2.2%,21.0,$276k,-3.2%,20.0
66,66,west-footscray,3012, 2_unit,$490k,95 days,56%,73,750k,295k,340.0,$490k,5.6%,73.0,$464k,-7.8%,63.0,$503k,17%,57.0,$430k,-2.3%,60.0,$440k,6.3%,61.0
