,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,url,school_duration,school_distance,park_duration,park_distance,shop_duration,shop_distance
0,0,0,0,0,https://www.domain.com.au/40-esmond-street-ardeer-vic-3022-16035224,8.303333333333333,5332.2,0.1016666666666666,42.6,5.595,2903.6
1,1,1,1,1,https://www.domain.com.au/11-grant-avenue-gisborne-vic-3437-16035741,1.7133333333333334,717.6,16.075,15921.0,17.85666666666667,17363.3
2,2,2,2,2,https://www.domain.com.au/15-balmoral-avenue-bundoora-vic-3083-16058638,0.8583333333333333,214.6,1.6700000000000002,423.2,7.698333333333333,3781.9
3,3,3,3,3,https://www.domain.com.au/6-39-wellington-street-st-kilda-vic-3182-16053159,1.955,795.0,1.28,518.2,3.6966666666666668,1723.3
4,4,4,4,4,https://www.domain.com.au/7-9-sheffield-street-coburg-vic-3058-13008792,1.346666666666667,549.4,0.7833333333333333,404.1,0.9583333333333334,453.9
5,5,5,5,5,https://www.domain.com.au/1305-151-berkeley-street-melbourne-vic-3000-16010201,1.4233333333333331,638.7,0.9833333333333332,406.2,1.7083333333333333,813.8
6,6,6,6,6,https://www.domain.com.au/302-30-newquay-promenade-docklands-vic-3008-16061690,1.143333333333333,327.0,0.0,0.0,1.8816666666666668,742.4
7,7,7,7,7,https://www.domain.com.au/1-glee-street-wyndham-vale-vic-3024-15342537,6.601666666666668,4002.5,21.043333333333333,14623.6,18.41,12043.6
8,8,8,8,8,https://www.domain.com.au/108-mcconnell-street-kensington-vic-3031-16003703,0.7116666666666667,189.4,0.6383333333333333,169.6,3.2983333333333333,905.5
9,9,9,9,9,https://www.domain.com.au/6-drum-st-rye-vic-3941-16057271,5.371666666666667,2977.6,0.0,0.0,56.715,70202.4
10,10,10,10,10,https://www.domain.com.au/3304-442-elizabeth-street-melbourne-vic-3000-16054476,1.4333333333333331,726.3,0.625,229.6,0.2966666666666667,180.8
11,11,11,11,11,https://www.domain.com.au/2-3-myers-court-bundoora-vic-3083-15942516,1.145,439.2,1.7333333333333334,433.2,4.645,2354.4
12,12,12,12,12,https://www.domain.com.au/7-9-13-anthony-st-melbourne-vic-3000-11943787,2.0316666666666667,814.8,1.3433333333333333,467.9,1.015,419.1
13,13,13,13,13,https://www.domain.com.au/204-190-reynolds-road-doncaster-east-vic-3109-16021613,3.056666666666666,1791.8,1.1416666666666666,483.7,1.63,622.1
14,14,14,14,14,https://www.domain.com.au/46-mount-view-road-thomastown-vic-3074-15304645,1.9016666666666664,1292.6,0.945,611.8,4.503333333333333,3051.9
15,15,15,15,15,https://www.domain.com.au/7-schultz-court-wodonga-vic-3690-16003323,0.53,164.9,0.0,0.0,187.035,290716.7
16,16,16,16,16,https://www.domain.com.au/201-455-elizabeth-street-melbourne-vic-3000-16047635,1.4483333333333337,713.0,0.64,216.3,0.31166666666666665,167.5
17,17,17,17,17,https://www.domain.com.au/7-hurtle-street-ascot-vale-vic-3032-16023499,2.15,953.1,1.36,657.5,3.93,2297.2
18,18,18,18,18,https://www.domain.com.au/27-harvey-street-prahran-vic-3181-16016664,0.6316666666666666,280.9,1.6033333333333333,530.3,3.1733333333333333,1863.6
19,19,19,19,19,https://www.domain.com.au/205-500-flinders-street-melbourne-vic-3000-16056820,1.721666666666667,835.4,1.0766666666666669,370.2,2.165,809.2
20,20,20,20,20,https://www.domain.com.au/1-sanctuary-way-ascot-vale-vic-3032-16065444,2.725,1092.4,0.8633333333333333,353.8,0.0,0.0
21,21,21,21,21,https://www.domain.com.au/4-amanda-court-melton-vic-3337-14769219,2.41,1287.9,17.19,16785.3,18.326666666666664,19063.0
22,22,22,22,22,https://www.domain.com.au/11-yolanda-street-bonshaw-vic-3352-16066118,4.053333333333333,2222.0,83.09333333333333,105346.6,79.83500000000001,100939.5
23,23,23,23,23,https://www.domain.com.au/9-parkside-st-malvern-vic-3144-16068890,1.7083333333333333,482.1,1.6783333333333337,550.4,3.085,1376.2
24,24,24,24,24,https://www.domain.com.au/33-stockmans-way-kensington-vic-3031-16067648,2.585,1228.6,0.2216666666666666,92.4,3.65,1425.8
25,25,25,25,25,https://www.domain.com.au/5-sheffield-street-preston-vic-3072-15929928,2.148333333333333,599.6,0.5833333333333334,145.8,3.896666666666667,1522.5
26,26,26,26,26,https://www.domain.com.au/495-middleborough-road-box-hill-north-vic-3129-15968608,1.45,1068.3,1.9833333333333327,936.7,2.125,1406.8
27,27,27,27,27,https://www.domain.com.au/4-381-station-street-bonbeach-vic-3196-16041903,0.8183333333333334,476.0,10.62,7016.1,14.088333333333333,9213.0
